日期,AQI指数
2015/9/30,17
,
2015/10/1,42
,
2015/10/2,74
,
2015/10/3,71
,
2015/10/4,73
,
2015/10/5,46
,
2015/10/6,35
,
2015/10/7,28
,
2015/10/8,29
,
2015/10/9,47
,
2015/10/10,75
,
2015/10/11,76
,
2015/10/12,92
,
2015/10/13,73
,
2015/10/14,90
,
2015/10/15,108
,
2015/10/16,108
,
2015/10/17,121
,
2015/10/18,97
,
2015/10/19,69
,
2015/10/20,73
,
2015/10/21,74
,
2015/10/22,82
,
2015/10/23,102
,
2015/10/24,131
,
2015/10/25,127
,
2015/10/26,132
,
2015/10/27,62
,
2015/10/28,64
,
2015/10/29,50
,
2015/10/30,69
,
2015/10/31,42
,
2015/11/1,48
,
2015/11/2,64
,
2015/11/3,74
,
2015/11/4,101
,
2015/11/5,80
,
2015/11/6,96
,
2015/11/7,59
,
2015/11/8,25
,
2015/11/9,45
,
2015/11/10,40
,
2015/11/11,53
,
2015/11/12,24
,
2015/11/13,31
,
2015/11/14,42
,
2015/11/15,53
,
2015/11/16,37
,
2015/11/17,28
,
2015/11/18,21
,
2015/11/19,35
,
2015/11/20,37
,
2015/11/21,49
,
2015/11/22,56
,
2015/11/23,44
,
2015/11/24,24
,
2015/11/25,23
,
2015/11/26,44
,
2015/11/27,45
,
2015/11/28,56
,
2015/11/29,57
,
2015/11/30,91
,
2015/12/1,109
,
2015/12/2,72
,
2015/12/3,82
,
2015/12/4,67
,
2015/12/5,32
,
2015/12/6,38
,
2015/12/7,49
,
2015/12/8,51
,
2015/12/9,76
,
2015/12/10,49
,
2015/12/11,160
,
2015/12/12,210
,
2015/12/13,72
,
2015/12/14,132
,
2015/12/15,115
,
2015/12/16,53
,
2015/12/17,50
,
2015/12/18,61
,
2015/12/19,99
,
2015/12/20,102
,
2015/12/21,107
,
2015/12/22,114
,
2015/12/23,161
,
2015/12/24,80
,
2015/12/25,75
,
2015/12/26,98
,
2015/12/27,130
,
2015/12/28,102
,
2015/12/29,92
,
2015/12/30,121
,
2015/12/31,139
,
2016/1/1,145
,
2016/1/2,197
,
2016/1/3,180
,
2016/1/4,89
,
2016/1/5,73
,
2016/1/6,61
,
2016/1/7,77
,
2016/1/8,96
,
2016/1/9,76
,
2016/1/10,94
,
2016/1/11,88
,
2016/1/12,56
,
2016/1/13,57
,
2016/1/14,85
,
2016/1/15,81
,
2016/1/16,60
,
2016/1/17,57
,
2016/1/18,124
,
2016/1/19,165
,
2016/1/20,100
,
2016/1/21,54
,
2016/1/22,34
,
2016/1/23,69
,
2016/1/24,67
,
2016/1/25,76
,
2016/1/26,81
,
2016/1/27,76
,
2016/1/28,33
,
2016/1/29,39
,
2016/1/30,46
,
2016/1/31,57
,
2016/2/1,94
,
2016/2/2,112
,
2016/2/3,90
,
2016/2/4,89
,
2016/2/5,104
,
2016/2/6,89
,
2016/2/7,143
,
2016/2/8,280
,
2016/2/9,98
,
2016/2/10,90
,
2016/2/11,59
,
2016/2/12,63
,
2016/2/13,44
,
2016/2/14,38
,
2016/2/15,52
,
2016/2/16,44
,
2016/2/17,64
,
2016/2/18,75
,
2016/2/19,69
,
2016/2/20,112
,
2016/2/21,119
,
2016/2/22,60
,
2016/2/23,73
,
2016/2/24,111
,
2016/2/25,134
,
2016/2/26,77
,
