»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2014-09-06,¡º,91,133,63,117,33,41,1.13,84
2014-09-07,¡º,96,144,69,115,26,37,1.07,83
2014-09-08,¡º,83,132,60,103,22,25,0.97,71
2014-09-09,¡º,94,159,69,107,22,24,1.14,58
2014-09-10,¡º,51,41,32,53,13,20,0.86,53
2014-09-11,¡º,73,142,50,81,24,23,1.00,48
2014-09-12,¡º,54,102,26,61,28,22,0.77,55
2014-09-13,”≈,35,30,13,32,14,18,0.75,50
2014-09-14,¡º,51,95,30,54,18,19,0.84,57
2014-09-15,¡º,64,164,42,71,24,20,0.92,70
2014-09-16,¡º,59,129,34,66,22,19,0.91,81
2014-09-17,¡º,69,167,44,84,30,29,1.00,69
2014-09-18,”≈,48,79,30,48,18,24,1.10,37
2014-09-19,”≈,25,2,12,23,10,22,1.06,44
2014-09-20,¡º,53,58,32,50,22,23,0.98,75
2014-09-21,¡º,71,137,41,68,28,23,0.88,97
2014-09-22,¡º,51,57,24,50,21,21,0.73,80
2014-09-23,¡º,51,70,23,51,23,21,0.74,74
2014-09-24,”≈,46,39,21,47,25,21,0.79,61
2014-09-25,¡º,68,76,45,75,30,29,0.95,61
2014-09-26,«·∂»Œ€»æ,116,156,87,116,27,33,1.00,57
2014-09-27,«·∂»Œ€»æ,146,173,111,146,30,35,1.06,70
2014-09-28,«·∂»Œ€»æ,133,180,99,143,31,38,1.06,75
2014-09-29,¡º,83,169,58,98,30,32,1.08,49
2014-09-30,”≈,42,39,26,42,14,21,0.92,43
2014-10-01,¡º,61,91,40,67,21,26,1.05,41
2014-10-02,¡º,66,78,46,73,19,30,1.12,53
2014-10-03,¡º,66,71,41,75,25,26,1.00,84
2014-10-04,¡º,72,119,46,81,25,25,0.95,91
2014-10-05,¡º,68,91,35,79,36,29,1.01,104
2014-10-06,¡º,83,128,58,98,30,27,0.95,112
2014-10-07,¡º,93,117,68,99,28,31,1.03,109
2014-10-08,¡º,85,79,59,89,26,35,0.87,94
2014-10-09,¡º,83,90,57,91,25,29,0.77,95
2014-10-10,¡º,93,104,68,98,29,27,0.91,98
2014-10-11,¡º,88,108,64,93,25,26,0.81,81
2014-10-12,«·∂»Œ€»æ,131,180,99,129,21,25,0.78,80
2014-10-13,÷ÿ∂»Œ€»æ,211,190,167,210,25,31,1.01,78
2014-10-14,«·∂»Œ€»æ,117,157,88,115,36,37,0.87,81
2014-10-15,÷–∂»Œ€»æ,155,172,116,159,34,61,1.04,77
2014-10-16,«·∂»Œ€»æ,131,149,99,131,35,52,1.07,71
2014-10-17,«·∂»Œ€»æ,126,139,94,129,48,49,1.09,80
2014-10-18,«·∂»Œ€»æ,112,106,84,122,45,47,0.98,96
2014-10-19,«·∂»Œ€»æ,123,142,92,142,46,62,1.12,85
2014-10-20,«·∂»Œ€»æ,150,162,113,172,40,73,1.55,49
2014-10-21,«·∂»Œ€»æ,112,145,83,117,18,41,1.55,40
2014-10-22,”≈,50,11,35,41,15,22,0.91,64
2014-10-23,¡º,82,65,59,77,25,32,1.02,50
2014-10-24,«·∂»Œ€»æ,106,119,79,116,23,44,1.18,49
2014-10-25,«·∂»Œ€»æ,146,164,110,159,22,54,1.46,44
2014-10-26,«·∂»Œ€»æ,144,168,108,158,28,47,1.38,50
2014-10-27,«·∂»Œ€»æ,122,162,92,124,23,30,1.14,66
2014-10-28,«·∂»Œ€»æ,133,177,101,124,20,30,1.15,35
2014-10-29,¡º,100,145,74,90,17,28,0.95,30
2014-10-30,¡º,69,94,49,50,12,29,1.12,20
2014-10-31,”≈,39,15,26,28,10,25,1.35,10
2014-11-01,¡º,79,104,57,53,13,22,1.24,26
2014-11-02,¡º,80,158,55,68,21,20,0.89,39
2014-11-03,¡º,57,48,28,61,20,24,0.72,42
2014-11-04,¡º,87,102,63,105,30,44,0.95,39
2014-11-05,«·∂»Œ€»æ,116,136,87,131,19,51,1.04,22
2014-11-06,¡º,88,94,64,79,20,24,0.82,36
2014-11-07,«·∂»Œ€»æ,112,174,84,90,18,29,1.05,31
2014-11-08,”≈,45,44,31,29,7,19,0.73,35
2014-11-09,¡º,56,61,39,46,13,23,0.74,23
2014-11-10,¡º,69,58,49,62,21,31,1.03,8
2014-11-11,¡º,67,52,47,67,20,33,0.98,11
2014-11-12,¡º,66,90,46,72,18,25,0.73,41
2014-11-13,¡º,70,92,47,78,23,33,0.62,40
2014-11-14,¡º,76,66,51,87,29,41,0.78,40
2014-11-15,¡º,76,54,53,83,25,38,0.77,23
2014-11-16,¡º,85,65,62,79,20,30,0.78,40
2014-11-17,¡º,88,72,63,92,22,26,0.82,53
2014-11-18,¡º,64,20,43,71,27,29,0.80,43
2014-11-19,¡º,87,61,63,108,35,52,1.02,24
2014-11-20,«·∂»Œ€»æ,130,118,97,164,39,64,1.58,28
2014-11-21,«·∂»Œ€»æ,144,114,109,172,37,66,1.55,30
2014-11-22,¡º,92,60,68,99,26,35,1.01,43
2014-11-23,÷–∂»Œ€»æ,161,144,121,167,43,47,1.52,43
2014-11-24,¡º,88,119,65,76,13,29,1.64,17
2014-11-25,”≈,17,1,10,15,9,20,0.63,17
2014-11-26,”≈,38,5,22,36,17,24,1.02,19
2014-11-27,¡º,54,37,32,59,23,34,1.12,15
2014-11-28,”≈,31,1,20,25,11,22,1.13,15
2014-11-29,¡º,65,54,46,66,21,32,1.56,7
2014-11-30,”≈,25,1,15,18,8,25,1.52,9
2014-12-01,¡º,76,95,46,90,24,25,0.95,31
2014-12-02,¡º,61,69,19,69,26,23,0.56,16
2014-12-03,”≈,42,18,24,41,11,34,0.72,13
2014-12-04,¡º,53,72,30,58,26,28,0.61,24
2014-12-05,¡º,57,60,31,63,33,34,0.63,24
2014-12-06,”≈,50,19,24,53,23,34,0.54,22
2014-12-07,¡º,59,24,33,66,35,41,0.69,21
2014-12-08,¡º,80,61,57,98,45,38,1.04,30
2014-12-09,¡º,67,46,47,66,30,36,0.87,20
2014-12-10,¡º,58,25,41,34,10,27,0.85,17
2014-12-11,¡º,66,62,46,58,22,24,0.66,23
2014-12-12,¡º,65,65,45,72,33,33,0.73,22
2014-12-13,¡º,68,40,48,69,32,41,0.82,19
2014-12-14,¡º,75,29,54,74,38,46,0.94,20
2014-12-15,¡º,68,18,49,58,42,46,0.85,14
2014-12-16,¡º,60,59,38,45,30,25,0.66,26
2014-12-17,”≈,34,6,21,30,23,30,0.54,24
2014-12-18,”≈,50,5,34,36,30,33,0.70,36
2014-12-19,¡º,67,27,47,48,37,46,0.94,11
2014-12-20,¡º,87,120,64,52,28,37,1.09,20
2014-12-21,¡º,55,33,39,36,30,28,0.78,27
2014-12-22,¡º,60,11,42,39,36,39,0.90,24
2014-12-23,¡º,84,31,62,55,35,49,1.10,19
2014-12-24,¡º,90,53,66,54,43,44,0.92,28
2014-12-25,«·∂»Œ€»æ,108,105,81,59,42,42,1.15,30
2014-12-26,¡º,78,74,57,42,39,39,0.91,19
2014-12-27,¡º,71,44,51,37,39,37,0.82,23
2014-12-28,¡º,73,43,53,50,18,31,0.83,22
2014-12-29,¡º,92,58,68,67,39,39,1.17,24
2014-12-30,«·∂»Œ€»æ,109,89,81,114,54,48,1.45,18
2014-12-31,«·∂»Œ€»æ,115,413,85,96,36,41,1.52,15
2015-01-01,”≈,42,27,15,42,17,18,0.47,31
2015-01-02,¡º,58,100,36,65,40,38,0.91,20
2015-01-03,¡º,79,89,56,94,42,51,1.26,23
2015-01-04,«·∂»Œ€»æ,131,156,98,149,46,73,2.22,40
2015-01-05,«·∂»Œ€»æ,118,159,89,138,40,57,1.50,15
2015-01-06,«·∂»Œ€»æ,102,275,75,84,17,29,1.21,22
